Name,ID
ABG (Allg Baumasch Gesellsch),ABG
Acadia,ACADIA
Acura,58
Adams Division,ADAMS
Aero,AERO
Aeroceanic,AEROCEANIC
Afron,AFRON
Ag-Chem,835
Agco,836
Agco Allis,643
Agco Gleaner,AGCO GLEAN
Agco Spra Coupe,AGCO SPRA
Agco Star,AGCO STAR
Agco White,AGCO WHITE
Aifo,AIFO
Albin,ALBIN
Alfa Romeo,16
Alfa Romeo - Europe,EU ALFA
Alien Motors,ALIEN MOTO
Allis Chalmers,ALLIS CHAL
Allmand,ALLMAND
AM General,44
American Motors,66
Amida,AMIDA
Apache,APACHE
Applied Energy,APPLIED EN
Aprilia,1170
Arctic Cat,1171
Asuna,89
Atlas,ATLAS
Atlas Copco,ATLAS COPC
Audi,73
Audi - Europe,EU AUDI
Ausa,AUSA
Austin,4
Austin Healey,1223
Austin Western,AUSTIN WES
Autocar,1079
Avco,847
Baja Motorsports,BAJA MOTOR
Baker,BAKER
Barber Greene,BARBER GRE
Barr,BARR
Baudouin,BAUDOUIN
Bayliner,BAYLINER
Bedford,BEDFORD
Belarus,BELARUS
Bell,BELL
Bering,1080
Berkley Jet,BERKLEY JE
Bluebird,656
BMS Motorsports,BMS MOTOR
BMW,31
BMW - Europe,EU BMW
Bobcat,853
Bomag,BOMAG
Bombardier,1177
Boss,BOSS
BPM,BPM
Briggs & Stratton,BRIGGS & S
Buhler Genesis,859
Buhler Versatile,860
Buick,45
Bukh,BUKH
Cadillac,46
Carrier Transicold,CARRIER TR
Case,566
Caterpillar,1081
Champion,CHAMPION
Chevrolet,47
Chevrolet - Europe,EU CHEVY
Chevrolet Marine Engine,CHEV M ENG
Chris Craft,CHRIS CRAF
Chrysler,39
Chrysler - Europe,EU CHRYSL
Chrysler Marine Engine,CHRY M ENG
Citroen - Europe,EU CITROEN
Citroen LCV - Europe,EU CIT LCV
Claas,871
Clark,CLARK
Club Car,CLUB CAR
Cockshutt,COCKSHUTT
Coleman,COLEMAN
Commander,COMMANDER
Consolidated Diesel,CONSOL_DIE
Construction Equipment Co.,CONSTRUCTI
Continental,570
Corniver,CORNIVER
Crusader,CRUSADER
Cub Cadet,627
Cummins Engines,CUMMINS EN
Cummins Fire Power,CUMMINS_FP
Cummins Marine Engines,CUMMINS
Cummins Mercruiser,CUMMINS ME
Cushman,CUSHMAN
Dacia - Europe,EU DACIA
Daewoo,18
Daewoo - Europe,EU DAEWOO
DAF,547
DAF - Europe,DAF EU
Daihatsu,19
Daihatsu - Europe,EU DAIHAT
Daihatsu LCV - Europe,EU DAI LCV
David Brown,DAVID_BROW
Davy Compressors,DAVY_COMP
Daytona,DAYTONA
Dearborn,DEARBORN
Deines,DEINES
DeLorean,35
Dennis - Europe,EU DENNIS
Detroit Diesel,DETROIT DI
Deutz,DEUTZ
Deutz Diter,DEUTZ DITE
Deutz-Allis,DEUTZ-ALLI
Deutz-Fahr,879
Diamond T,DIAMOND T
