typeName,makeID,ID,makeName,Name,typeID
Tractor,ABG,1,ABG (Allg Baumasch Gesellsch),Alexander 124,Tractors
Tractor,ABG,2,ABG (Allg Baumasch Gesellsch),Alexander 126,Tractors
Tractor,ABG,3,ABG (Allg Baumasch Gesellsch),Alexander 126H,Tractors
Tractor,ABG,4,ABG (Allg Baumasch Gesellsch),Alexander 128,Tractors
Tractor,ABG,5,ABG (Allg Baumasch Gesellsch),Alexander 128G,Tractors
Tractor,ABG,6,ABG (Allg Baumasch Gesellsch),AW 165,Tractors
Tractor,ABG,7,ABG (Allg Baumasch Gesellsch),BV 590,Tractors
Tractor,ABG,8,ABG (Allg Baumasch Gesellsch),Jumbo 140,Tractors
Tractor,ABG,9,ABG (Allg Baumasch Gesellsch),MAW 172,Tractors
Tractor,ABG,10,ABG (Allg Baumasch Gesellsch),MAW 172S,Tractors
Tractor,ABG,11,ABG (Allg Baumasch Gesellsch),MAW 173,Tractors
Tractor,ABG,12,ABG (Allg Baumasch Gesellsch),MAW 173S,Tractors
Tractor,ABG,13,ABG (Allg Baumasch Gesellsch),MICKEY_123,Tractors
Tractor,ABG,14,ABG (Allg Baumasch Gesellsch),NG,Tractors
Tractor,ABG,15,ABG (Allg Baumasch Gesellsch),Puma 168,Tractors
Tractor,ABG,16,ABG (Allg Baumasch Gesellsch),Puma 168A,Tractors
Tractor,ABG,17,ABG (Allg Baumasch Gesellsch),Puma 177,Tractors
Tractor,ABG,18,ABG (Allg Baumasch Gesellsch),Puma 177V,Tractors
Tractor,ABG,19,ABG (Allg Baumasch Gesellsch),Puma 177VS,Tractors
Tractor,ABG,20,ABG (Allg Baumasch Gesellsch),Puma 178,Tractors
Tractor,ABG,21,ABG (Allg Baumasch Gesellsch),SAW 186,Tractors
Tractor,ABG,22,ABG (Allg Baumasch Gesellsch),SF 213,Tractors
Tractor,ABG,23,ABG (Allg Baumasch Gesellsch),Titan 211,Tractors
Tractor,ABG,24,ABG (Allg Baumasch Gesellsch),Titan 300,Tractors
Tractor,ABG,25,ABG (Allg Baumasch Gesellsch),Titan 360,Tractors
Tractor,ABG,26,ABG (Allg Baumasch Gesellsch),TITAN_350S,Tractors
Tractor,ABG,27,ABG (Allg Baumasch Gesellsch),TITAN_410S,Tractors
Tractor,ABG,28,ABG (Allg Baumasch Gesellsch),VAS 512,Tractors
Tractor,ABG,29,ABG (Allg Baumasch Gesellsch),WZ 172,Tractors
Tractor,ABG,30,ABG (Allg Baumasch Gesellsch),WZ 172S,Tractors
Truck,44,561,AM General,Hummer,6
Boat,ACADIA,31,Acadia,Various Models,BOAT
Car,58,32,Acura,CL,5
Car,58,33,Acura,CSX,5
Car,58,34,Acura,EL,5
Car,58,35,Acura,ILX,5
Car,58,36,Acura,Integra,5
Car,58,37,Acura,Legend,5
Car,58,39,Acura,NSX,5
Car,58,41,Acura,RL,5
Car,58,42,Acura,RSX,5
Car,58,44,Acura,TL,5
