makeID,ID,makeName,Name
ABG,Tractors,ABG (Allg Baumasch Gesellsch),Tractor
44,6,AM General,Truck
ACADIA,BOAT,Acadia,Boat
58,5,Acura,Car
58,6,Acura,Truck
ADAMS,Graders,Adams Division,Grader
ADAMS,Loaders,Adams Division,Loader
ADAMS,Motor Grad,Adams Division,Motor Grader
ADAMS,33,Adams Division,Snowblower
AERO,BOAT,Aero,Boat
AEROCEANIC,BOAT,Aeroceanic,Boat
AFRON,Various Eq,Afron,Various Equipment
835,17,Ag-Chem,Sprayer
643,Tractors,Agco Allis,Tractor
AGCO GLEAN,16,Agco Gleaner,Combine
AGCO SPRA,17,Agco Spra Coupe,Sprayer
AGCO STAR,Tractors,Agco Star,Tractor
AGCO WHITE,Tractors,Agco White,Tractor
836,14,Agco,Agricultural Tractor
836,Tractors,Agco,Tractor
AIFO,Engines-Ma,Aifo,Engine - Marine
AIFO,Engines-In,Aifo,Engines - Industrial
ALBIN,BOAT,Albin,Boat
EU ALFA,5,Alfa Romeo - Europe,Car
16,5,Alfa Romeo,Car
ALIEN MOTO,44,Alien Motors,ATV
ALLIS CHAL,15,Allis Chalmers,Baler
ALLIS CHAL,16,Allis Chalmers,Combine
ALLIS CHAL,Crawler Tr,Allis Chalmers,Crawler Tractor
ALLIS CHAL,Crawlers,Allis Chalmers,Crawlers
ALLIS CHAL,Dozers,Allis Chalmers,Dozer
ALLIS CHAL,Generators,Allis Chalmers,Generator
ALLIS CHAL,Graders,Allis Chalmers,Grader
ALLIS CHAL,Lift Truck,Allis Chalmers,Lift Truck
ALLIS CHAL,Loaders,Allis Chalmers,Loader
ALLIS CHAL,Loaders BH,Allis Chalmers,Loader - Backhoe
ALLIS CHAL,Motor Grad,Allis Chalmers,Motor Grader
ALLIS CHAL,Power Unit,Allis Chalmers,Power Unit
ALLIS CHAL,Rough Terr,Allis Chalmers,Rough Terrain
ALLIS CHAL,Scrapers,Allis Chalmers,Scraper
ALLIS CHAL,17,Allis Chalmers,Sprayer
ALLIS CHAL,Tractors F,Allis Chalmers,Tractor - Farm
ALLIS CHAL,Tractors I,Allis Chalmers,Tractor - Industrial
ALLIS CHAL,Tractor Lo,Allis Chalmers,Tractor Loader
ALLIS CHAL,Tractor Sc,Allis Chalmers,Tractor Scraper
ALLMAND,Tractors,Allmand,Tractor
ALLMAND,Various Eq,Allmand,Various Equipment
66,5,American Motors,Car
AMIDA,Various Eq,Amida,Various Equipment
APACHE,17,Apache,Sprayer
APPLIED EN,Hydraulic ,Applied Energy,Hydraulic Motor
1170,46,Aprilia,Offroad Motorcycle
1170,2189,Aprilia,Scooter
1170,49,Aprilia,Street Motorcycle
1171,44,Arctic Cat,ATV
1171,47,Arctic Cat,Personal Watercraft
1171,48,Arctic Cat,Snowmobile
1171,50,Arctic Cat,Utility Vehicle
89,5,Asuna,Car
89,6,Asuna,Truck
ATLAS COPC,Compressor,Atlas Copco,Compressor
ATLAS COPC,Misc. Equi,Atlas Copco,Misc. Equipment
ATLAS COPC,Off-Road &,Atlas Copco,Off-Road & Mining Truck
ATLAS,Excavators,Atlas,Excavator
ATLAS,Loaders,Atlas,Loader
EU AUDI,5,Audi - Europe,Car
73,5,Audi,Car
73,6,Audi,Truck
AUSA,Lift Truck,Ausa,Lift Truck
1223,5,Austin Healey,Car
AUSTIN WES,Cranes,Austin Western,Crane
AUSTIN WES,Graders,Austin Western,Grader
AUSTIN WES,Rollers,Austin Western,Roller
AUSTIN WES,Sweepers,Austin Western,Sweeper
4,5,Austin,Car
1079,HD TRUCK,Autocar,Heavy Duty
847,Power Unit,Avco,Power Unit
BMS MOTOR,44,BMS Motorsports,ATV
BMS MOTOR,Carts,BMS Motorsports,Cart
BMS MOTOR,Dune Buggy,BMS Motorsports,Dune Buggy
BMS MOTOR,2189,BMS Motorsports,Scooter
BMS MOTOR,50,BMS Motorsports,Utility Vehicle
EU BMW,5,BMW - Europe,Car
31,5,BMW,Car
31,Engines-Ma,BMW,Engine - Marine
31,40,BMW,Motorcycle
31,46,BMW,Offroad Motorcycle
31,49,BMW,Street Motorcycle
31,6,BMW,Truck
BPM,Engines-Ma,BPM,Engine - Marine
BAJA MOTOR,44,Baja Motorsports,ATV
BAKER,Lift Truck,Baker,Lift Truck
BAKER,Misc. Equi,Baker,Misc. Equipment
BARBER GRE,Finishers,Barber Greene,Finisher
BARR,BOAT,Barr,Boat
BAUDOUIN,Engines-Ma,Baudouin,Engine - Marine
BAYLINER,BOAT,Bayliner,Boat
BEDFORD,Engines-Ma,Bedford,Engine - Marine
BELARUS,Tractors,Belarus,Tractor
BELL,Graders,Bell,Grader
BELL,Loaders BH,Bell,Loader - Backhoe
1080,12,Bering,Medium Duty
BERKLEY JE,Engines-Ma,Berkley Jet,Engine - Marine
656,Buses,Bluebird,Bus
853,Excavators,Bobcat,Excavator
853,Loaders,Bobcat,Loader
853,SkidSteerL,Bobcat,Skid Steer Loader
853,Trenchers,Bobcat,Trencher
853,50,Bobcat,Utility Vehicle
853,Wheel Trac,Bobcat,Wheel Tractor
853,Wood Loade,Bobcat,Wood Loader
BOMAG,Compactors,Bomag,Compactor
1177,44,Bombardier,ATV
1177,40,Bombardier,Motorcycle
1177,50,Bombardier,Utility Vehicle
BOSS,Plow Motor,Boss,Plow Motor
BRIGGS & S,Engines-In,Briggs & Stratton,Engines - Industrial
859,14,Buhler Genesis,Agricultural Tractor
860,14,Buhler Versatile,Agricultural Tractor
860,Tractors A,Buhler Versatile,Tractor - Agricultural
45,5,Buick,Car
45,6,Buick,Truck
45,7,Buick,Van
BUKH,Engines-Ma,Bukh,Engine - Marine
46,5,Cadillac,Car
46,6,Cadillac,Truck
CARRIER TR,Generators,Carrier Transicold,Generator
CARRIER TR,Heating Un,Carrier Transicold,Heating Unit
CARRIER TR,Misc. Equi,Carrier Transicold,Misc. Equipment
CARRIER TR,Trailer Un,Carrier Transicold,Trailer Unit
CARRIER TR,Truck Unit,Carrier Transicold,Truck Unit
566,14,Case,Agricultural Tractor
566,15,Case,Baler
566,16,Case,Combine
566,Cotton Pic,Case,Cotton Picker
566,Cranes,Case,Crane
566,Crawler Ex,Case,Crawler Excavator
566,Crawler Lo,Case,Crawler Loader
566,Crawler Tr,Case,Crawler Tractor
566,Crawlers,Case,Crawlers
566,Dozers,Case,Dozer
566,Excavators,Case,Excavator
566,Feller Bun,Case,Feller Buncher
566,Floater,Case,Floater
566,Lift Truck,Case,Lift Truck
566,Loaders,Case,Loader
566,Loaders BH,Case,Loader - Backhoe
566,Power Unit,Case,Power Unit
566,Rollers,Case,Roller
566,Shovels,Case,Shovel
566,SkidSteerL,Case,Skid Steer Loader
566,17,Case,Sprayer
566,Telescopic,Case,Telescopic Handler
566,TrackLoad,Case,Track Loader
566,Tractors,Case,Tractor
566,Tractors C,Case,Tractor - Compact
566,Tractors F,Case,Tractor - Farm
566,Tractors I,Case,Tractor - Industrial
566,Tractors L,Case,Tractor - Lawn
566,Trenchers,Case,Trencher
566,Uni-Loader,Case,Uni-Loader
566,Wheel Load,Case,Wheel Loader
566,Wheel Trac,Case,Wheel Tractor
